Year,LOG,Date,WOTY,County,City ,Site,Species,Total.Sum.Pool,Number.Females,Number.Males,Trap,ProportionPercent,Sum2017,Sum2018,2017Year_Iowa,2017WOTY_Iowa,2017Total.Sum.Pool_Iowa,2018Year_Iowa,2018WOTY_Iowa,2018Total.Sum.Pool_Iowa
2017,BG,7/10-7/11,28,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,1,,,BG-Sentinel,0.231481481,432,1128,2017,22,0,2018,22,2
2017,BG,7/21-7/23,29,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,3,,,BG-Sentinel,0.694444444,,,2017,23,0,2018,23,1
2017,BG,7/28-7/30,30,Des Moines ,Burlington,Sycamore St.,Ae.albopictus,2,,,BG-Sentinel,0.462962963,,,2017,24,0,2018,24,0
2017,BG,7/26-7/27,30,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,1,,,BG-Sentinel,0.231481481,,,2017,25,0,2018,25,7
2017,BG,7/28-7/30,30,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,1,,,BG-Sentinel,0.231481481,,,2017,26,0,2018,26,12
2017,GAT,7/24-7/30,30,Lee,Fort Madison,Jeana's V #1,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,2017,27,0,2018,27,20
2017,GAT,7/24-7/30,30,Lee,Fort Madison,Jeana's V #2,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,2017,28,1,2018,28,40
2017,BG,8/8-8/12,32,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,3,,,BG-Sentinel,0.694444444,,,2017,29,3,2018,29,40
2017,BG,8/9-8/10,32,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,1,,,BG-Sentinel,0.231481481,,,2017,30,6,2018,30,45
2017,GAT,8/7-8/13,32,Lee,Fort Madison,Jeana's V #1,Ae.albopictus,7,,,Gravid Aedes ,1.62037037,,,2017,31,0,2018,31,93
2017,BG,8/20-?,33,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,2,,,BG-Sentinel,0.462962963,,,2017,32,12,2018,32,146
2017,BG,8/16-8/17,33,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,2,,,BG-Sentinel,0.462962963,,,2017,33,17,2018,33,107
2017,BG,8/21-8/22,34,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,4,,,BG-Sentinel,0.925925926,,,2017,34,49,2018,34,55
2017,BG,8/23-8/26,34,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,3,,,BG-Sentinel,0.694444444,,,2017,35,0,2018,35,119
2017,GAT,?-8/21,34,Des Moines ,Burlington,Crapo Park,Ae.albopictus,2,,,Gravid Aedes ,0.462962963,,,2017,36,111,2018,36,79
2017,BG,8/23-8/24,34,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,1,,,BG-Sentinel,0.231481481,,,2017,37,124,2018,37,152
2017,GAT,8/21-8/27,34,Lee,Fort Madison,Jeana's V #1,Ae.albopictus,5,,,Gravid Aedes ,1.157407407,,,2017,38,100,2018,38,95
2017,GAT,8/21-8/27,34,Lee,Fort Madison,Jeana's V #1,Ae.albopictus,22,,,Gravid Aedes ,5.092592593,,,2017,39,6,2018,39,81
2017,GAT,8/21-8/27,34,Lee,Fort Madison,Jeana's V #3,Ae.albopictus,9,,,Gravid Aedes ,2.083333333,,,2017,40,3,2018,40,8
2017,BG,9/7-9/9,36,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,8,,,BG-Sentinel,1.851851852,,,,,,,,
2017,GAT,9/5-9/10,36,Lee,Fort Madison,Jeana's V #1,Ae.albopictus,17,,,Gravid Aedes ,3.935185185,,,,,,,,
2017,GAT,9/5-9/10,36,Lee,Fort Madison,Jeana's V #2,Ae.albopictus,17,,,Gravid Aedes ,3.935185185,,,,,,,,
2017,GAT,9/5-9/10,36,Lee,Fort Madison,Jeana's V #3,Ae.albopictus,18,,,Gravid Aedes ,4.166666667,,,,,,,,
2017,GAT,9/5-9/10,36,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,3,,,Gravid Aedes ,0.694444444,,,,,,,,
2017,BG,9/14-9/16,37,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,5,,,BG-Sentinel,1.157407407,,,,,,,,
2017,BG,9/15-9/17,37,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,5,,,BG-Sentinel,1.157407407,,,,,,,,
2017,GAT,9/11-9/17,37,Lee,Fort Madison,Jeana's V #1,Ae.albopictus,51,,,Gravid Aedes ,11.80555556,,,,,,,,
2017,GAT,9/11-9/17,37,Lee,Fort Madison,Jeana's V #2,Ae.albopictus,24,,,Gravid Aedes ,5.555555556,,,,,,,,
2017,GAT,9/11-9/17,37,Lee,Fort Madison,Jeana's V #3,Ae.albopictus,9,,,Gravid Aedes ,2.083333333,,,,,,,,
2017,GAT,9/11-9/17,37,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,12,,,Gravid Aedes ,2.777777778,,,,,,,,
2017,BG,9/11-9/13,38,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,5,,,BG-Sentinel,1.157407407,,,,,,,,
2017,BG,9/18-9/20,38,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,2,,,BG-Sentinel,0.462962963,,,,,,,,
2017,BG,9/21-9/23,38,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,10,,,BG-Sentinel,2.314814815,,,,,,,,
2017,GAT,9/18-9/24,38,Des Moines ,Burlington,Tama Rd @ Hwy 99,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,BG,9/20-9/21,38,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,1,,,BG-Sentinel,0.231481481,,,,,,,,
2017,BG,9/22-9/23,38,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,2,,,BG-Sentinel,0.462962963,,,,,,,,
2017,GAT,9/18-9/24,38,Lee,Fort Madison,Jeana's V #1,Ae.albopictus,18,,,Gravid Aedes ,4.166666667,,,,,,,,
2017,GAT,9/18-9/24,38,Lee,Fort Madison,Jeana's V #2,Ae.albopictus,20,,,Gravid Aedes ,4.62962963,,,,,,,,
2017,GAT,9/18-9/24,38,Lee,Fort Madison,Jeana's V #3,Ae.albopictus,10,,,Gravid Aedes ,2.314814815,,,,,,,,
2017,GAT,9/18-9/24,38,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,2,,,Gravid Aedes ,0.462962963,,,,,,,,
2017,GAT,8/2-8/9,32,Polk,Des Moines,East Liberty #1,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,BG,8/13-8/19,33,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,7,,,BG-Sentinel,1.62037037,,,,,,,,
2017,BG,8/11-8/14,33,Des Moines ,Burlington,Sycamore St.,Ae.albopictus,2,,,BG-Sentinel,0.462962963,,,,,,,,
2017,GAT,8/10-8/16,33,Polk,Des Moines,East Liberty #1,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,GAT,8/10-8/16,33,Polk,Des Moines,Liberty Gate #1,Ae.albopictus,3,,,Gravid Aedes ,0.694444444,,,,,,,,
2017,GAT,8/16-8/21,34,Polk,Des Moines,East Liberty #2,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,GAT,8/16-8/21,34,Polk,Des Moines,East Liberty #3,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,GAT,8/16-8/21,34,Polk,Des Moines,Liberty Gate #2,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,BG,8/31-9/6,36,Des Moines ,Burlington,Herman Ave.,Ae.albopictus,9,,,BG-Sentinel,2.083333333,,,,,,,,
2017,BG,8/31-9/6,36,Des Moines ,Burlington,Sycamore St.,Ae.albopictus,1,,,BG-Sentinel,0.231481481,,,,,,,,
2017,GAT,8/31-9/6,36,Des Moines ,Burlington,Oak St.,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,BG,9/1=9/4,36,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,3,,,BG-Sentinel,0.694444444,,,,,,,,
2017,GAT,8/28-9/4,36,Lee,Fort Madison,Jeana's V #1,Ae.albopictus,11,,,Gravid Aedes ,2.546296296,,,,,,,,
2017,GAT,8/28-9/4,36,Lee,Fort Madison,Jeana's V #2,Ae.albopictus,7,,,Gravid Aedes ,1.62037037,,,,,,,,
2017,GAT,8/28-9/4,36,Lee,Fort Madison,Jeana's V #3,Ae.albopictus,10,,,Gravid Aedes ,2.314814815,,,,,,,,
2017,GAT,8/28-9/4,36,Lee,Fort Madison,Tammy Wilson,Ae.albopictus,6,,,Gravid Aedes ,1.388888889,,,,,,,,
2017,GAT,9/6-9/13,37,Des Moines ,Burlington,Crapo Park,Ae.albopictus,3,,,Gravid Aedes ,0.694444444,,,,,,,,
2017,GAT,9/16-9/13,37,Des Moines ,Burlington,Oak St.,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,GAT,9/8-9/12,37,Polk,Des Moines,East Liberty Water #2,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,GAT,9/5-9/12,37,Polk,Des Moines,XPO Shipping #1,Ae.albopictus,3,,,Gravid Aedes ,0.694444444,,,,,,,,
2017,GAT,9/5-9/12,37,Polk,Des Moines,XPO Shipping #2,Ae.albopictus,5,,,Gravid Aedes ,1.157407407,,,,,,,,
2017,GAT,9/5-9/12,37,Polk,Des Moines,XPO Shipping #3,Ae.albopictus,3,,,Gravid Aedes ,0.694444444,,,,,,,,
2017,GAT,9/5-9/12,37,Polk,Des Moines,XPO Shipping #4,Ae.albopictus,2,,,Gravid Aedes ,0.462962963,,,,,,,,
2017,BG,9/13-9/19,38,Des Moines ,Burlington,Sycamore St.,Ae.albopictus,3,,,BG-Sentinel,0.694444444,,,,,,,,
2017,GAT,9/13-9/20,38,Des Moines ,Burlington,Crapo Park,Ae.albopictus,8,,,Gravid Aedes ,1.851851852,,,,,,,,
2017,GAT,9/13-9/19,38,Des Moines ,Burlington,Oak St.,Ae.albopictus,12,,,Gravid Aedes ,2.777777778,,,,,,,,
2017,GAT,9/13-9/19,38,Polk,Des Moines,East Liberty Water #1,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,GAT,9/13-9/19,38,Polk,Des Moines,XPO Shipping #1,Ae.albopictus,2,,,Gravid Aedes ,0.462962963,,,,,,,,
2017,GAT,9/13-9/19,38,Polk,Des Moines,XPO Shipping #2,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,GAT,9/13-9/19,38,Polk,Des Moines,XPO Shipping #3,Ae.albopictus,2,,,Gravid Aedes ,0.462962963,,,,,,,,
2017,BG,9/20-9/29,39,Des Moines ,Burlington,Sycamore St.,Ae.albopictus,1,,,BG-Sentinel,0.231481481,,,,,,,,
2017,GAT,9/20-9/26,39,Des Moines ,Burlington,Oak St.,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2017,GAT,9/20-9/26,39,Polk,Des Moines,XPO Shipping #1,Ae.albopictus,2,,,Gravid Aedes ,0.462962963,,,,,,,,
2017,GAT,9/20-9/26,39,Polk,Des Moines,XPO Shipping #2,Ae.albopictus,2,,,Gravid Aedes ,0.462962963,,,,,,,,
2017,GAT,9/27-10/3,40,Polk,Des Moines,XPO Shipping #2,Ae.albopictus,2,,,Gravid Aedes ,0.462962963,,,,,,,,
2017,GAT,9/27-10/3,40,Polk,Des Moines,XPO Shipping #3,Ae.albopictus,1,,,Gravid Aedes ,0.231481481,,,,,,,,
2018,BG,5/30-6/1,22,Lee,Fort Madison,212 16th St TJ,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,6/6-6/8,23,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,6/18-6/20,25,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,GAT,6/18-6/25,25,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,2,2,0,Gravid Aedes,0.177304965,,,,,,,,
2018,GAT,6/18-6/25,25,Lee,Fort Madison,206 Ave D JV 1,Ae.albopictus,1,1,0,Gravid Aedes,0.088652482,,,,,,,,
2018,GAT,6/18-6/25,25,Lee ,Fort Madison,206 Ave D JV 2,Ae.albopictus,1,1,0,Gravid Aedes,0.088652482,,,,,,,,
2018,BG,6/29-7/2,26,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,6/25-7/1,26,Des Moines,Burlington,2332 Herman Ave,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,BG,6/27-6/29,26,Polk,Des Moines,Liberty Gate,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,GAT,6/25-7/2,26,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,3,3,0,Gravid Aedes,0.265957447,,,,,,,,
2018,GAT,6/25-7/2,26,Lee,Fort Madison,206 Ave D JV 1,Ae.albopictus,1,1,0,Gravid Aedes,0.088652482,,,,,,,,
2018,GAT,6/25-7/2,26,Lee,Fort Madison,212 16th St TJ,Ae.albopictus,1,1,0,Gravid Aedes,0.088652482,,,,,,,,
2018,GAT,6/25-7/2,26,Des Moines,Burlington,6096 Nikonha Pl,Ae.albopictus,1,1,0,Gravid Aedes,0.088652482,,,,,,,,
2018,BG,7/2-7/6,27,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/6-7/9,27,Polk,,XPO Junk,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/3-7/6,27,Polk,,XPO Woods South,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/6-7/9,27,Polk,,XPO Woods South,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,GAT,7/2-7/9,27,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,4,4,0,Gravid Aedes,0.354609929,,,,,,,,
2018,GAT,7/2-7/9,27,Lee,Fort Madison,206 Ave D JV 1,Ae.albopictus,2,2,0,Gravid Aedes,0.177304965,,,,,,,,
2018,GAT,7/2-7/9,27,Lee,Fort Madison,206 Ave D JV 2,Ae.albopictus,1,1,0,Gravid Aedes,0.088652482,,,,,,,,
2018,GAT,7/3-7/9,27,Polk,Des Moines,XPO #1,Ae.albopictus,1,1,0,Gravid Aedes,0.088652482,,,,,,,,
2018,GAT,7/3-7/9,27,Polk,Des Moines,XPO #2,Ae.albopictus,2,2,0,Gravid Aedes,0.177304965,,,,,,,,
2018,GAT,7/3-7/9,27,Polk,Des Moines,XPO #5,Ae.albopictus,1,1,0,Gravid Aedes,0.088652482,,,,,,,,
2018,BG,7/9-7/11,28,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,3,3,0,BG Sentinal,0.265957447,,,,,,,,
2018,BG,,28,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,3,3,0,BG Sentinal,0.265957447,,,,,,,,
2018,BG,7/9-7/11,28,Lee,Fort Madison,212 16th St TJ,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/8-7/15,28,Des Moines,Burlington,2332 Herman Ave,Ae.albopictus,7,7,0,BG Sentinal,0.620567376,,,,,,,,
2018,BG,7/9-7/11,28,Lee,Keokuk,Navajo CM,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/11-7/13,28,Polk,,XPO Woods North,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/11-7/13,28,Polk,,XPO Woods South,Ae.albopictus,8,3,5,BG Sentinal,0.709219858,,,,,,,,
2018,GAT,7/9-7/16,28,Polk,Des Moines,XPO #2,Ae.albopictus,5,5,0,Gravid Aedes,0.443262411,,,,,,,,
2018,GAT,7/9-7/16,28,Polk,Des Moines,XPO #3,Ae.albopictus,1,1,0,Gravid Aedes,0.088652482,,,,,,,,
2018,GAT,7/9-7/16,28,Polk,Des Moines,XPO #4,Ae.albopictus,4,4,0,Gravid Aedes,0.354609929,,,,,,,,
2018,BG,7/16-7/18,29,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,BG,7/18-7/20,29,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/20-7/23,29,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,BG,7/20-7/23,29,Lee,Fort Madison,1710 Ave B MC,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/16-7/18,29,Lee,Fort Madison,212 16th St TJ,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/18-7/20,29,Lee,Fort Madison,212 16th St TJ,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/20-7/23,29,Lee,Keokuk,Navajo CM,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/16-7/18,29,Polk,,XPO Junk,Ae.albopictus,3,3,0,BG Sentinal,0.265957447,,,,,,,,
2018,BG,7/18-7/20,29,Polk,Fort Madison,XPO Junk,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/18-7/20,29,Polk,,XPO Woods North,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,GAT,7/16-7/23,29,Polk,Des Moines,XPO #1,Ae.albopictus,2,2,0,Gravid Aedes,0.177304965,,,,,,,,
2018,GAT,7/16-7/23,29,Polk,Des Moines,XPO #2,Ae.albopictus,2,2,0,Gravid Aedes,0.177304965,,,,,,,,
2018,GAT,7/16-7/23,29,Polk,Des Moines,XPO #5,Ae.albopictus,4,4,0,Gravid Aedes,0.354609929,,,,,,,,
2018,BG,7/23-7/25,30,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,8,8,0,BG Sentinal,0.709219858,,,,,,,,
2018,BG,7/23-7/25,30,Polk,,XPO Junk,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,BG,7/25-7/27,30,Polk,,XPO Junk,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/23-7/25,30,Polk,,XPO Woods North,Ae.albopictus,3,2,1,BG Sentinal,0.265957447,,,,,,,,
2018,BG,7/23-7/25,30,Polk,,XPO Woods South,Ae.albopictus,1,1,0,BG Sentinal,0.088652482,,,,,,,,
2018,BG,7/25-7/27,30,Polk,,XPO Woods South,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,GAT,7/30-8/6,31,Polk,Des Moines,XPO #1,Ae.albopictus,7,5,2,Gravid Aedes,0.620567376,,,,,,,,
2018,GAT,7/30-8/6,31,Polk,Des Moines,XPO #2,Ae.albopictus,7,5,2,Gravid Aedes,0.620567376,,,,,,,,
2018,GAT,7/30-8/6,31,Polk,Des Moines,XPO #3,Ae.albopictus,8,4,4,Gravid Aedes,0.709219858,,,,,,,,
2018,GAT,7/30-8/6,31,Polk,Des Moines,XPO #4,Ae.albopictus,2,2,0,Gravid Aedes,0.177304965,,,,,,,,
2018,GAT,7/30-8/6,31,Polk,Des Moines,XPO #5,Ae.albopictus,7,2,5,Gravid Aedes,0.620567376,,,,,,,,
2018,BG,8/8-8/10,32,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,BG,8/6-8/8,32,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,4,4,0,BG Sentinal,0.354609929,,,,,,,,
2018,BG,8/10-8/13,32,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,3,3,0,BG Sentinal,0.265957447,,,,,,,,
2018,BG,8/10-8/13,32,Des Moines,Burlington,1320 N 9th St,Ae.albopictus,7,5,2,BG Sentinal,0.620567376,,,,,,,,
2018,BG,8/6-8/8,32,Lee,Fort Madison,1710 Ave B MC,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,GAT,8/6-8/13,32,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,7,7,0,Gravid Aedes,0.620567376,,,,,,,,
2018,GAT,8/6-8/13,32,Lee,Fort Madison,1710 Ave B MC,Ae.albopictus,3,3,0,Gravid Aedes,0.265957447,,,,,,,,
2018,GAT,8/6-8/13,32,Lee,Fort Madison,206 Ave D JV 1,Ae.albopictus,84,82,2,Gravid Aedes,7.446808511,,,,,,,,
2018,GAT,8/6-8/13,32,Lee,Fort Madison,206 Ave D JV 2,Ae.albopictus,1,1,0,Gravid Aedes,0.088652482,,,,,,,,
2018,GAT,8/6-8/13,32,Des Moines,Burlington,522 N. 3rd St,Ae.albopictus,3,3,0,Gravid Aedes,0.265957447,,,,,,,,
2018,GAT,8/6-8/13,32,Des Moines,Burlington,522 N. 3rd St,Ae.albopictus,2,2,0,Gravid Aedes,0.177304965,,,,,,,,
2018,GAT,8/6-8/13,32,Des Moines,Burlington,6096 Nikonha Pl,Ae.albopictus,2,2,0,Gravid Aedes,0.177304965,,,,,,,,
2018,GAT,8/6-8/13,32,Des Moines,Burlington,Crapo Park,Ae.albopictus,6,6,0,Gravid Aedes,0.531914894,,,,,,,,
2018,GAT,8/6-8/13,32,Des Moines,Burlington,Tama Rd,Ae.albopictus,1,1,0,Gravid Aedes,0.088652482,,,,,,,,
2018,GAT,8/6-8/13,32,Polk,Des Moines,XPO #1,Ae.albopictus,10,10,0,Gravid Aedes,0.886524823,,,,,,,,
2018,GAT,8/6-8/13,32,Polk,Des Moines,XPO #2,Ae.albopictus,3,3,0,Gravid Aedes,0.265957447,,,,,,,,
2018,GAT,8/6-8/13,32,Polk,Des Moines,XPO #3,Ae.albopictus,3,3,0,Gravid Aedes,0.265957447,,,,,,,,
2018,GAT,8/6-8/13,32,Polk,Des Moines,XPO #4,Ae.albopictus,3,3,0,Gravid Aedes,0.265957447,,,,,,,,
2018,GAT,8/6-8/13,32,Polk,Des Moines,XPO #5,Ae.albopictus,3,3,0,Gravid Aedes,0.265957447,,,,,,,,
2018,BG,8/15-8/17,33,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,BG,8/17-8/20,33,Lee,Fort Madison,12 Ridgewood TW,Ae.albopictus,5,5,0,BG Sentinal,0.443262411,,,,,,,,
2018,BG,8/12-8/21,33,Des Moines,Burlington,1320 N 9th St,Ae.albopictus,5,5,0,BG Sentinal,0.443262411,,,,,,,,
2018,BG,8/13-8/15,33,Lee,Fort Madison,1710 Ave B MC,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,BG,8/15-8/17,33,Lee,Fort Madison,1710 Ave B MC,Ae.albopictus,2,2,0,BG Sentinal,0.177304965,,,,,,,,
2018,BG,8/17-8/20,33,Lee,Fort Madison,1710 Ave B MC,Ae.albopictus,11,11,0,BG Sentinal,0.975177305,,,,,,,,
2018,BG,8/12-8/21,33,Des Moines,Burlington,2332 Herman Ave,Ae.albopictus,28,28,0,BG Sentinal,2.482269504,,,,,,,,
2018,BG,8/13-8/21,33,Des Moines,Burlington,2509 Yoder Dr,Ae.albopictus,4,4,0,BG Sentinal,0.354609929,,,,,,,,
